Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
AC-01-00-00,AC-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
AC-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only access control policy)
Removed ODP to assign ""personnel or roles""",
AC-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] access control policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
AC-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
AC-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
AC-01-00-05,2. Procedures to facilitate the implementation of the access control policy and the associated access controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only access control procedures),
AC-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and",NCO, ,—,,
AC-01-00-07,c. Review and update the current access control ,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only access control),
AC-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AC-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
AC-02-00-00,AC-2  Account Management,CUI,03-01-01:,3.1.1  Account Management ,,
AC-02-00-01,a. Define and document the types of accounts allowed and specifically prohibited for use within the system;,CUI,03-01-01a.,3.1.1a. Define and document the types of system accounts allowed and prohibited.,,
AC-02-00-02,b. Assign account managers;,NFO, ,—,,
AC-02-00-03,c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;,NFO, ,—,,
AC-02-00-04,d. Specify:,CUI,03-01-01c.,"3.1.1c. Specify authorized users of the system, group and role membership, and access authorizations (i.e., privileges).","Combined multiple control items  AC-2d.1., AC-2d.2., and AC-2d.3. ",
AC-02-00-05,1. Authorized users of the system;,CUI,03-01-01c.,"3.1.1c. Specify authorized users of the system, group and role membership, and access authorizations (i.e., privileges).","Combined multiple control items  AC-2d.1., AC-2d.2., and AC-2d.3. ",
AC-02-00-06,2. Group and role membership; and,CUI,03-01-01c.,"3.1.1c. Specify authorized users of the system, group and role membership, and access authorizations (i.e., privileges).","Combined multiple control items  AC-2d.1., AC-2d.2., and AC-2d.3. ",
AC-02-00-07,"3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;",CUI,03-01-01c.,"3.1.1c. Specify authorized users of the system, group and role membership, and access authorizations (i.e., privileges).","Combined multiple control items  AC-2d.1., AC-2d.2., and AC-2d.3. ",
AC-02-00-08,e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;,NCO, ,—,,
AC-02-00-09,"f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];",CUI,03-01-01b.,"3.1.1b. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria].",,
AC-02-00-10,g. Monitor the use of accounts;,CUI,03-01-01e.,3.1.1e. Monitor the use of accounts.,,
